City_ID,City,Country,Date,Lat,Lng,Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain,Snow
0,Zunheboto,IN,2020-02-23 03:09:50,25.97,94.52,Rain,light rain,66.76,57,100,0.47,0.31,0.0
1,Innisfail,AU,2020-02-23 03:09:50,-17.53,146.03,Rain,moderate rain,83.52,83,100,5.03,3.13,0.0
2,Tuban,ID,2020-02-23 03:09:51,-6.9,112.06,Rain,light rain,84.27,77,54,8.03,1.13,0.0
3,Cape Town,ZA,2020-02-23 03:02:40,-33.93,18.42,Clear,clear sky,64.99,72,0,6.93,0.0,0.0
4,Carnarvon,AU,2020-02-23 03:05:52,-24.87,113.63,Clear,clear sky,82.4,58,0,8.05,0.0,0.0
5,Rikitea,PF,2020-02-23 03:05:35,-23.12,-134.97,Clouds,few clouds,79.86,66,12,6.15,0.0,0.0
6,Port Alfred,ZA,2020-02-23 03:05:44,-33.59,26.89,Clouds,few clouds,62.01,85,16,1.99,0.0,0.0
7,Avarua,CK,2020-02-23 03:04:29,-21.21,-159.78,Rain,light rain,84.2,83,98,6.93,0.81,0.0
8,Punta Arenas,CL,2020-02-23 03:01:08,-53.15,-70.92,Clouds,few clouds,51.8,66,20,17.22,0.0,0.0
9,Tuktoyaktuk,CA,2020-02-23 03:00:57,69.45,-133.04,Snow,light snow,1.4,84,90,3.36,0.0,0.0
10,Cidreira,BR,2020-02-23 03:09:52,-30.18,-50.21,Rain,light rain,70.12,64,3,6.67,0.13,0.0
11,Lorengau,PG,2020-02-23 03:07:10,-2.02,147.27,Clear,clear sky,83.62,67,0,3.71,0.0,0.0
12,Nara,JP,2020-02-23 03:09:53,34.69,135.8,Clouds,few clouds,52.0,40,20,14.99,0.0,0.0
13,Toba,JP,2020-02-23 03:09:53,34.48,136.85,Rain,shower rain,51.01,57,75,21.92,0.0,0.0
14,Pevek,RU,2020-02-23 03:09:53,69.7,170.31,Snow,light snow,-10.39,96,100,10.27,0.0,0.13
15,Victoria,HK,2020-02-23 03:05:01,22.29,114.16,Clouds,few clouds,71.01,52,20,13.87,0.0,0.0
16,Egvekinot,RU,2020-02-23 03:09:53,66.32,-179.17,Clouds,scattered clouds,-29.78,99,25,2.37,0.0,0.0
17,Saskylakh,RU,2020-02-23 03:05:56,71.92,114.08,Snow,light snow,5.07,95,100,9.22,0.0,0.38
18,Torbay,CA,2020-02-23 03:06:38,47.67,-52.73,Snow,light shower snow,28.99,79,90,18.34,0.0,0.0
19,Puerto Escondido,MX,2020-02-23 03:09:54,15.85,-97.07,Clear,clear sky,82.4,88,5,6.93,0.0,0.0
20,Jamestown,US,2020-02-23 03:02:26,42.1,-79.24,Clear,clear sky,37.99,43,1,9.17,0.0,0.0
