City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-02-17 03:11:48,-54.8,-68.3,46.4,81,75,19.46
1,Adrar,MR,2020-02-17 03:14:13,20.5,-10.07,70.61,17,100,10.71
2,Leningradskiy,RU,2020-02-17 03:14:14,69.38,178.42,-22.94,93,35,3.13
3,Mataura,NZ,2020-02-17 03:14:14,-46.19,168.86,64.0,81,24,8.99
4,Provideniya,RU,2020-02-17 03:14:14,64.38,-173.3,3.2,84,90,24.61
5,Los Llanos De Aridane,ES,2020-02-17 03:14:15,28.66,-17.92,66.99,72,75,11.41
6,Albany,US,2020-02-17 03:14:15,42.6,-73.97,36.0,55,40,4.7
7,Port Blair,IN,2020-02-17 03:14:15,11.67,92.75,73.4,83,40,2.24
8,Port Alfred,ZA,2020-02-17 03:14:16,-33.59,26.89,70.0,91,100,5.99
9,Svetlaya,RU,2020-02-17 03:14:16,46.54,138.33,16.66,90,100,35.01
10,Manta,EC,2020-02-17 03:14:16,-0.95,-80.73,75.52,89,98,2.17
11,Lima,PE,2020-02-17 03:13:41,-12.04,-77.03,75.2,78,84,17.22
12,Vanimo,PG,2020-02-17 03:14:16,-2.67,141.3,82.63,79,77,13.78
13,Bruck An Der Leitha,AT,2020-02-17 03:14:17,48.02,16.77,42.01,75,63,6.93
14,Punta Arenas,CL,2020-02-17 03:10:32,-53.15,-70.92,44.6,75,40,18.34
15,Yellowknife,CA,2020-02-17 03:14:17,62.46,-114.35,-25.01,74,5,10.29
16,Coihaique,CL,2020-02-17 03:14:17,-45.58,-72.07,48.2,76,1,1.12
17,Hasaki,JP,2020-02-17 03:14:17,35.73,140.83,61.0,51,40,9.17
18,Avarua,CK,2020-02-17 03:14:18,-21.21,-159.78,80.6,83,100,8.05
19,Faanui,PF,2020-02-17 03:14:18,-16.48,-151.75,82.67,76,59,17.9
20,Nikolskoye,RU,2020-02-17 03:14:18,59.7,30.79,41.0,86,90,13.42
21,Shubarkuduk,KZ,2020-02-17 03:14:19,49.14,56.49,12.31,97,92,3.53
22,Iqaluit,CA,2020-02-17 03:10:57,63.75,-68.51,-23.01,67,40,2.24
23,Codrington,AU,2020-02-17 03:14:19,-38.27,141.97,63.81,81,0,9.13
24,San Rafael,AR,2020-02-17 03:14:19,-34.62,-68.33,76.66,57,0,1.5
25,Auki,SB,2020-02-17 03:14:19,-8.77,160.7,81.75,84,100,23.98
26,Rikitea,PF,2020-02-17 03:14:20,-23.12,-134.97,79.81,78,100,18.9
27,Lebu,CL,2020-02-17 03:14:20,-37.62,-73.65,51.3,96,6,2.42
28,Japura,ID,2020-02-17 03:14:20,-0.32,102.35,87.84,63,74,2.57
29,Khatanga,RU,2020-02-17 03:14:20,71.97,102.5,4.75,94,98,13.98
30,Saint George,US,2020-02-17 03:14:21,37.1,-113.58,53.6,34,1,3.36
31,Tuktoyaktuk,CA,2020-02-17 03:14:21,69.45,-133.04,-25.6,74,20,14.99
32,Batemans Bay,AU,2020-02-17 03:14:21,-35.72,150.18,73.0,76,100,5.01
33,Brigham City,US,2020-02-17 03:14:22,41.51,-112.02,39.2,93,90,4.7
34,Jamestown,US,2020-02-17 03:14:22,42.1,-79.24,33.8,92,20,6.93
35,Astoria,US,2020-02-17 03:13:21,46.19,-123.83,46.0,87,90,12.75
36,Mar Del Plata,AR,2020-02-17 03:13:38,-38.0,-57.56,69.8,83,0,9.17
37,Chapais,CA,2020-02-17 03:14:22,49.78,-74.85,-13.0,83,1,2.24
38,Mangan,IN,2020-02-17 03:14:23,27.52,88.53,50.32,51,0,3.24
39,Sibolga,ID,2020-02-17 03:14:23,1.74,98.78,86.34,57,48,0.94
40,Hami,CN,2020-02-17 03:14:23,42.8,93.45,22.23,42,100,3.74
41,Busselton,AU,2020-02-17 03:14:23,-33.65,115.33,78.01,25,0,11.41
42,Kieta,PG,2020-02-17 03:14:24,-6.22,155.63,86.2,65,100,6.42
43,East London,ZA,2020-02-17 03:10:32,-33.02,27.91,74.57,78,84,17.31
44,Hualmay,PE,2020-02-17 03:14:24,-11.1,-77.61,70.77,82,47,4.21
45,Cabo San Lucas,MX,2020-02-17 03:14:24,22.89,-109.91,71.6,43,75,2.24
46,Bredasdorp,ZA,2020-02-17 03:14:24,-34.53,20.04,68.0,68,30,4.7
47,Inhambane,MZ,2020-02-17 03:14:25,-23.86,35.38,78.8,78,15,3.76
48,Carnarvon,AU,2020-02-17 03:14:25,-24.87,113.63,82.4,45,0,13.87
49,Saskylakh,RU,2020-02-17 03:14:25,71.92,114.08,-5.12,97,98,9.95
50,Harlingen,US,2020-02-17 03:09:26,26.19,-97.7,77.0,65,90,9.17
51,Nelson Bay,AU,2020-02-17 03:14:26,-32.72,152.15,73.4,94,90,4.7
52,Boyuibe,BO,2020-02-17 03:14:26,-20.42,-63.28,67.86,89,100,5.41
53,Geraldton,AU,2020-02-17 03:14:26,-28.77,114.6,89.6,31,0,17.22
54,Atuona,PF,2020-02-17 03:14:26,-9.8,-139.03,80.8,77,14,18.43
55,Bluff,NZ,2020-02-17 03:14:26,-46.6,168.33,64.0,81,60,8.99
56,Tulun,RU,2020-02-17 03:14:27,54.56,100.58,13.28,91,0,2.46
57,Kodinsk,RU,2020-02-17 03:14:27,58.69,99.18,9.43,93,51,1.95
58,Saravan,AM,2020-02-17 03:14:27,39.72,45.65,30.2,100,90,4.7
59,Hilo,US,2020-02-17 03:09:29,19.73,-155.09,77.0,65,75,10.29
60,Sovetskiy,RU,2020-02-17 03:13:31,61.36,63.58,6.19,96,49,5.79
61,Tayshet,RU,2020-02-17 03:14:28,55.93,98.0,12.78,92,0,1.86
62,Yatou,CN,2020-02-17 03:14:28,37.15,122.38,27.79,63,100,29.39
63,Hermanus,ZA,2020-02-17 03:14:28,-34.42,19.23,66.0,94,92,1.01
64,Santiago,CL,2020-02-17 03:11:12,-33.46,-70.65,66.2,55,0,11.41
65,Paamiut,GL,2020-02-17 03:14:29,61.99,-49.67,5.4,60,0,10.71
66,Sao Joao Da Barra,BR,2020-02-17 03:14:29,-21.64,-41.05,78.64,85,100,19.95
67,Pevek,RU,2020-02-17 03:14:29,69.7,170.31,-23.98,99,100,6.82
68,Upernavik,GL,2020-02-17 03:14:29,72.79,-56.15,0.27,90,100,8.34
69,Pullman,US,2020-02-17 03:10:50,46.73,-117.18,42.8,64,1,11.41
70,Canto Do Buriti,BR,2020-02-17 03:14:30,-8.11,-42.94,71.92,85,0,1.95
71,San Cristobal,VE,2020-02-17 03:14:30,7.77,-72.22,82.4,61,40,4.7
72,Zhireken,RU,2020-02-17 03:14:30,52.82,117.31,12.97,81,6,3.44
73,Lashio,MM,2020-02-17 03:12:14,22.93,97.75,75.09,38,0,0.13
74,North Mankato,US,2020-02-17 03:14:31,44.17,-94.03,25.0,68,90,12.75
75,Corn Island,NI,2020-02-17 03:14:31,12.17,-83.04,81.01,76,0,19.73
76,Cap Malheureux,MU,2020-02-17 03:14:31,-19.98,57.61,78.8,69,75,8.05
77,Pisco,PE,2020-02-17 03:14:31,-13.7,-76.22,73.4,88,100,17.22
78,Uaua,BR,2020-02-17 03:12:27,-9.84,-39.48,71.6,83,95,8.23
79,Cape Town,ZA,2020-02-17 03:11:24,-33.93,18.42,66.0,93,90,8.05
80,Lompoc,US,2020-02-17 03:14:32,34.64,-120.46,57.99,87,1,9.17
81,Ayios Nikolaos,GR,2020-02-17 03:14:32,38.42,23.65,52.0,66,20,11.41
82,Sungairaya,ID,2020-02-17 03:14:32,0.7,108.9,78.33,90,99,2.1
83,Kapaa,US,2020-02-17 03:10:24,22.08,-159.32,77.0,69,90,18.34
84,Kiunga,PG,2020-02-17 03:14:33,-6.12,141.29,92.25,50,44,4.81
85,Hobart,AU,2020-02-17 03:14:33,-42.88,147.33,72.0,37,20,10.29
86,Butaritari,KI,2020-02-17 03:14:33,3.07,172.79,83.1,77,24,18.37
87,Raudeberg,NO,2020-02-17 03:14:34,61.99,5.14,42.8,81,100,27.51
88,Arraial Do Cabo,BR,2020-02-17 03:14:34,-22.97,-42.03,77.86,87,33,21.68
89,Guane,CU,2020-02-17 03:14:34,22.2,-84.09,75.4,75,0,4.79
90,Komsomolskiy,UZ,2020-02-17 03:14:34,40.43,71.72,37.4,74,100,4.7
91,Sinnamary,GF,2020-02-17 03:14:35,5.38,-52.95,79.81,81,73,20.45
92,Golitsyno,RU,2020-02-17 03:14:35,55.61,36.98,39.0,74,75,17.9
93,Kodiak,US,2020-02-17 03:14:35,57.79,-152.41,33.8,86,90,3.36
94,Kazachinskoye,RU,2020-02-17 03:14:35,57.7,93.28,10.29,95,51,2.19
95,Pankovka,RU,2020-02-17 03:14:35,58.5,31.2,41.65,87,100,16.84
96,Tolaga Bay,NZ,2020-02-17 03:14:36,-38.37,178.3,68.97,80,100,23.29
97,Cherskiy,RU,2020-02-17 03:14:36,68.75,161.3,-20.81,92,95,8.59
98,Kirakira,SB,2020-02-17 03:14:36,-10.45,161.92,84.16,76,100,8.7
99,Puerto Ayora,EC,2020-02-17 03:14:36,-0.74,-90.35,77.94,86,42,4.41
100,Qaanaaq,GL,2020-02-17 03:14:37,77.48,-69.36,-0.02,46,84,5.88
101,Araouane,ML,2020-02-17 03:14:37,18.9,-3.53,70.45,10,70,10.96
102,Castro,BR,2020-02-17 03:14:37,-24.79,-50.01,67.87,76,80,6.15
103,Georgetown,MY,2020-02-17 03:13:17,5.41,100.34,86.0,70,20,8.05
104,Esperance,AU,2020-02-17 03:14:37,-33.87,121.9,66.2,63,90,13.87
105,Novikovo,RU,2020-02-17 03:14:38,51.15,37.89,26.02,84,61,15.12
106,Sarai,RU,2020-02-17 03:14:38,53.75,41.02,31.32,88,100,20.4
107,Koszalin,PL,2020-02-17 03:14:38,54.19,16.17,48.99,10,100,20.96
108,Itoman,JP,2020-02-17 03:14:38,26.12,127.67,57.2,62,75,18.34
109,Zabaykalsk,RU,2020-02-17 03:14:39,49.63,117.32,9.64,85,0,4.9
110,Arman,RU,2020-02-17 03:14:39,59.7,150.17,5.49,70,0,2.53
111,Goderich,CA,2020-02-17 03:14:39,43.75,-81.72,30.99,85,99,5.86
112,San Policarpo,PH,2020-02-17 03:14:39,12.18,125.51,79.63,83,13,11.63
113,Lososina,RU,2020-02-17 03:14:39,49.0,140.31,11.52,82,100,13.82
114,Putyatino,RU,2020-02-17 03:14:40,54.16,41.12,33.08,87,100,18.07
115,Meulaboh,ID,2020-02-17 03:14:40,4.14,96.13,80.29,80,0,5.26
116,Laguna,US,2020-02-17 03:14:40,38.42,-121.42,59.0,62,1,3.51
117,Ribeira Grande,PT,2020-02-17 03:14:40,38.52,-28.7,52.03,70,100,8.61
118,New Norfolk,AU,2020-02-17 03:14:41,-42.78,147.06,72.0,37,20,10.29
119,Florianopolis,BR,2020-02-17 03:10:43,-27.61,-48.5,80.6,88,75,8.05
120,Vaini,TO,2020-02-17 03:14:41,-21.2,-175.2,82.4,74,40,14.99
121,Denpasar,ID,2020-02-17 03:14:41,-8.65,115.22,82.4,94,75,6.93
122,Camacha,PT,2020-02-17 03:14:42,33.08,-16.33,62.6,82,40,6.93
123,Tiksi,RU,2020-02-17 03:14:42,71.69,128.87,-3.68,94,100,5.95
124,Odweyne,SO,2020-02-17 03:14:42,9.41,45.06,61.88,82,0,5.75
